species,observed_homerange,family,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,class,iucn_category,predicted_homerange,predicted_pld,observed_pld
Chloroscombrus orqueta,NA,Carangidae,NA,775000,habitat_coastal,benthopelagic,30,NA,6174.469341,0.883662012,2.54,Actinopteri,LC,0.001072729,38.25038007,NA
Cilus gilberti,NA,Sciaenidae,NA,285000,habitat_benthic,demersal,92,NA,39818.27394,0.624615121,3.940238918,Actinopteri,DD,0.040824384,51.94828681,NA
Clupea harengus,NA,Clupeidae,NA,3810000,migratory,benthopelagic,45,NA,829839.7885,0.216471005,3.38,Actinopteri,LC,0.096483124,46.27912602,160
Clupeonella cultriventris,NA,Clupeidae,NA,270000,migratory,pelagic-neritic,14.5,NA,126214.606,0.907898346,3,Actinopteri,LC,7.68E-04,43.87484523,NA
Coelorinchus chilensis,NA,Macrouridae,NA,287500,habitat_deep,bathydemersal,48,NA,1276.456542,0.207374079,3.853333333,Actinopteri,NA,0.009719981,37.16045566,NA
Cololabis saira,NA,Scomberesocidae,NA,10187500,pelagic,pelagic-oceanic,40,NA,1327967.399,0.461247094,3.744079463,Actinopteri,NA,0.060688327,35.69808569,NA
Conger myriaster,NA,Congridae,NA,1475000,habitat_benthic,bathydemersal,100,NA,265480.4857,0.269522379,3.996284477,Actinopteri,LC,0.166050349,54.65276422,NA
Conger oceanicus,NA,Congridae,NA,1605000,territorial,demersal,230,NA,485.7036385,0.269522379,4.5,Actinopteri,LC,0.173797226,44.29930265,NA
Conger orbignianus,NA,Congridae,NA,515000,habitat_benthic,demersal,112,NA,3468.19438,0.269522379,3.753420389,Actinopteri,LC,0.065791727,52.69232653,NA
Conodon nobilis,NA,Haemulidae,NA,2602500,habitat_benthic,demersal,33.59999847,NA,8375.276066,0.654886592,3.61,Actinopteri,LC,0.001376413,43.36681866,NA
Coregonus albula,NA,Salmonidae,NA,32500,migratory,benthopelagic,48,NA,20850.23819,0.420787903,3.13691919,Actinopteri,LC,0.024637034,32.42940829,28
Coregonus lavaretus,NA,Salmonidae,NA,1395000,habitat_coastal,demersal,73,NA,18551.55656,0.390523349,3.13,Actinopteri,VU,0.202659846,35.11379855,19
